,Company,Ticker
280,Centum Electronics Limited,CENTUM.NS
281,Century Plyboards (India) Limited,CENTURYPLY.NS
282,Century Textiles & Industries Limited,CENTURYTEX.NS
283,Cera Sanitaryware Limited,CERA.NS
284,Cerebra Integrated Technologies Limited,CEREBRAINT.NS
285,CESC Limited,CESC.NS
286,CESC Ventures Limited,CESCVENT.NS
287,Capri Global Capital Limited,CGCL.NS
288,CG Power and Industrial Solutions Limited,CGPOWER.NS
289,Chalet Hotels Limited,CHALET.NS
290,Chambal Fertilizers & Chemicals Limited,CHAMBLFERT.NS
291,Chembond Chemicals Ltd,CHEMBOND.NS
292,Chemcon Speciality Chemicals Limited,CHEMCON.NS
293,Chemfab Alkalis Limited,CHEMFAB.NS
294,Chennai Petroleum Corporation Limited,CHENNPETRO.NS
295,Cholamandalam Investment and Finance Company Limited,CHOLAFIN.NS
296,Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS
297,Chromatic India Limited,CHROMATIC.NS
298,Cigniti Technologies Limited,CIGNITITEC.NS
299,Cineline India Limited,CINELINE.NS
300,Cinevista Limited,CINEVISTA.NS
301,Cipla Limited,CIPLA.NS
302,CL Educate Limited,CLEDUCATE.NS
303,Clariant Chemicals (India) Limited,CLNINDIA.NS
304,CMI Limited,CMICABLES.NS
305,CIL Nova Petrochemicals Limited,CNOVAPETRO.NS
306,Coal India Limited,COALINDIA.NS
307,Cochin Shipyard Limited,COCHINSHIP.NS
308,Coforge Limited,COFORGE.NS
309,Colgate Palmolive (India) Limited,COLPAL.NS
310,Compuage Infocom Limited,COMPINFO.NS
311,Compucom Software Limited,COMPUSOFT.NS
312,Container Corporation of India Limited,CONCOR.NS
313,Confidence Petroleum India Limited,CONFIPET.NS
314,Consolidated Finvest & Holdings Limited,CONSOFINVT.NS
315,Control Print Limited,CONTROLPR.NS
316,Coral India Finance & Housing Limited,CORALFINAC.NS
317,Cords Cable Industries Limited,CORDSCABLE.NS
318,Coromandel International Limited,COROMANDEL.NS
319,Cosmo Films Limited,COSMOFILMS.NS
320,Country Condo's Limited,COUNCODOS.NS
321,Cox & Kings Limited,COX&KINGS.NS
322,Creative Peripherals and Distribution Limited,CREATIVE.NS
323,Creative Eye Limited,CREATIVEYE.NS
324,CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS
325,Crest Ventures Limited,CREST.NS
326,CRISIL Limited,CRISIL.NS
327,Crompton Greaves Consumer Electricals Limited,CROMPTON.NS
328,CSB Bank Limited,CSBBANK.NS
329,Cambridge Technology Enterprises Limited,CTE.NS
330,City Union Bank Limited,CUB.NS
331,Cubex Tubings Limited,CUBEXTUB.NS
332,Cummins India Limited,CUMMINSIND.NS
333,Cupid Limited,CUPID.NS
334,Cyber Media (India) Limited,CYBERMEDIA.NS
335,Cybertech Systems And Software Limited,CYBERTECH.NS
336,Cyient Limited,CYIENT.NS
337,LT Foods Limited,DAAWAT.NS
338,Dabur India Limited,DABUR.NS
339,Dalmia Bharat Limited,DALBHARAT.NS
340,Dalmia Bharat Sugar and Industries Limited,DALMIASUG.NS
341,Damodar Industries Limited,DAMODARIND.NS
342,Dangee Dums Limited,DANGEE.NS
343,Datamatics Global Services Limited,DATAMATICS.NS
344,D.B.Corp Limited,DBCORP.NS
345,Dilip Buildcon Limited,DBL.NS
346,D B Realty Limited,DBREALTY.NS
347,DB (International) Stock Brokers Limited,DBSTOCKBRO.NS
348,Dishman Carbogen Amcis Limited,DCAL.NS
349,DCB Bank Limited,DCBBANK.NS
350,DCM  Limited,DCM.NS
351,DCM Financial Services Limited,DCMFINSERV.NS
352,DCM Nouvelle Limited,DCMNVL.NS
353,DCM Shriram Limited,DCMSHRIRAM.NS
354,DCW Limited,DCW.NS
355,Deccan Cements Limited,DECCANCE.NS
356,Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT.NS
357,Deepak Nitrite Limited,DEEPAKNTR.NS
358,DEEP ENERGY RESOURCES LIMITED,DEEPENR.NS
359,Delta Corp Limited,DELTACORP.NS
360,Delta Manufacturing Limited,DELTAMAGNT.NS
361,Den Networks Limited,DEN.NS
362,De Nora India Limited,DENORA.NS
363,DFM Foods Limited,DFMFOODS.NS
364,Digicontent Limited,DGCONTENT.NS
365,Dhampur Sugar Mills Limited,DHAMPURSUG.NS
366,Dhanlaxmi Bank Limited,DHANBANK.NS
367,Dhani Services Limited,DHANI.NS
368,Dhanuka Agritech Limited,DHANUKA.NS
369,Dharani Sugars & Chemicals Limited,DHARSUGAR.NS
370,Dewan Housing Finance Corporation Limited,DHFL.NS
371,Dhunseri Investments Limited,DHUNINV.NS
372,Prataap Snacks Limited,DIAMONDYD.NS
373,Diamond Power Infra Ltd,DIAPOWER.NS
374,DIC India Limited,DICIND.NS
375,DiGiSPICE Technologies Limited,DIGISPICE.NS
376,Digjam Limited,DIGJAMLTD.NS
377,Dish TV India Limited,DISHTV.NS
378,Divi's Laboratories Limited,DIVISLAB.NS
379,Dixon Technologies (India) Limited,DIXON.NS
380,DLF Limited,DLF.NS
381,D-Link (India) Limited,DLINKINDIA.NS
382,Avenue Supermarts Limited,DMART.NS
383,Diligent Media Corporation Limited,DNAMEDIA.NS
384,Dolat Investments Limited,DOLAT.NS
385,Dollar Industries Limited,DOLLAR.NS
386,Donear Industries Limited,DONEAR.NS
387,D. P. Abhushan Limited,DPABHUSHAN.NS
388,DPSC Limited,DPSCLTD.NS
389,D P Wires Limited,DPWIRES.NS
390,DQ Entertainment (International) Limited,DQE.NS
391,Dredging Corporation of India Limited,DREDGECORP.NS
392,Dr. Reddy's Laboratories Limited,DRREDDY.NS
393,Dynacons Systems & Solutions Limited,DSSL.NS
394,Dhunseri Tea & Industries Limited,DTIL.NS
395,Ducon Infratechnologies Limited,DUCON.NS
396,Dhunseri Ventures Limited,DVL.NS
397,Dwarikesh Sugar Industries Limited,DWARKESH.NS
398,Dynamatic Technologies Limited,DYNAMATECH.NS
399,Dynemic Products Limited,DYNPRO.NS
400,Eastern Silk Industries Limited,EASTSILK.NS
401,Easun Reyrolle Limited,EASUNREYRL.NS
402,EBIXCASH WORLD MONEY INDIA LIMITED,EBIXFOREX.NS
403,eClerx Services Limited,ECLERX.NS
404,Edelweiss Financial Services Limited,EDELWEISS.NS
405,Educomp Solutions Limited,EDUCOMP.NS
406,Eicher Motors Limited,EICHERMOT.NS
407,EID Parry India Limited,EIDPARRY.NS
408,EIH Associated Hotels Limited,EIHAHOTELS.NS
409,EIH Limited,EIHOTEL.NS
410,Eimco Elecon (India) Limited,EIMCOELECO.NS
411,Everest Kanto Cylinder Limited,EKC.NS
412,Elecon Engineering Company Limited,ELECON.NS
413,Electrosteel Castings Limited,ELECTCAST.NS
414,Electrotherm (India) Limited,ELECTHERM.NS
415,Elgi Equipments Limited,ELGIEQUIP.NS
416,Elgi Rubber Company Limited,ELGIRUBCO.NS
417,Emami Limited,EMAMILTD.NS
418,Emami Paper Mills Limited,EMAMIPAP.NS
419,Emami Realty Limited,EMAMIREAL.NS
420,Emco Limited,EMCO.NS
421,Emkay Global Financial Services Limited,EMKAY.NS
422,Emmbi Industries Limited,EMMBI.NS
423,Endurance Technologies Limited,ENDURANCE.NS
424,Energy Development Company Limited,ENERGYDEV.NS
425,Engineers India Limited,ENGINERSIN.NS
426,Entertainment Network (India) Limited,ENIL.NS
427,EPL Limited,EPL.NS
428,Equitas Holdings Limited,EQUITAS.NS
429,Equitas Small Finance Bank Limited,EQUITASBNK.NS
430,Eris Lifesciences Limited,ERIS.NS
431,Eros International Media Limited,EROSMEDIA.NS
432,Esab India Limited,ESABINDIA.NS
433,Escorts Limited,ESCORTS.NS
434,Essar Shipping Limited,ESSARSHPNG.NS
435,Ester Industries Limited,ESTER.NS
436,Euro Multivision Limited,EUROMULTI.NS
437,Eurotex Industries and Exports Limited,EUROTEXIND.NS
438,Eveready Industries India Limited,EVEREADY.NS
439,Everest Industries Limited,EVERESTIND.NS
440,Excel Realty N Infra Limited,EXCEL.NS
441,Excel Industries Limited,EXCELINDUS.NS
442,Exide Industries Limited,EXIDEIND.NS
443,Expleo Solutions Limited,EXPLEOSOL.NS
444,Fertilizers and Chemicals Travancore Limited,FACT.NS
445,Fairchem Organics Limited,FAIRCHEMOR.NS
446,Fineotex Chemical Limited,FCL.NS
447,Future Consumer Limited,FCONSUMER.NS
448,FCS Software Solutions Limited,FCSSOFT.NS
449,FDC Limited,FDC.NS
450,The Federal Bank  Limited,FEDERALBNK.NS
451,Future Enterprises Limited,FEL.NS
452,Future Enterprises Limited,FELDVR.NS
453,Fiem Industries Limited,FIEMIND.NS
454,Filatex India Limited,FILATEX.NS
455,Finolex Cables Limited,FINCABLES.NS
456,Fine Organic Industries Limited,FINEORG.NS
457,Finolex Industries Limited,FINPIPE.NS
458,Flexituff Ventures International Limited,FLEXITUFF.NS
459,Future Lifestyle Fashions Limited,FLFL.NS
460,Gujarat Fluorochemicals Limited,FLUOROCHEM.NS
461,Federal-Mogul Goetze (India) Limited.,FMGOETZE.NS
462,Future Market Networks Limited,FMNL.NS
463,FORCE MOTORS LTD,FORCEMOT.NS
464,Fortis Healthcare Limited,FORTIS.NS
465,Foseco India Limited,FOSECOIND.NS
466,Future Retail Limited,FRETAIL.NS
467,Future Supply Chain Solutions Limited,FSC.NS
468,Firstsource Solutions Limited,FSL.NS
469,Gabriel India Limited,GABRIEL.NS
470,Gujarat Ambuja Exports Limited,GAEL.NS
471,GAIL (India) Limited,GAIL.NS
472,Gyscoal Alloys Limited,GAL.NS
473,Galaxy Surfactants Limited,GALAXYSURF.NS
474,Gallantt Metal Limited,GALLANTT.NS
475,Gallantt Ispat Limited,GALLISPAT.NS
476,Gammon Infrastructure Projects Limited,GAMMNINFRA.NS
477,Gandhi Special Tubes Limited,GANDHITUBE.NS
478,Ganesha Ecosphere Limited,GANECOS.NS
479,Ganesh Housing Corporation Limited,GANESHHOUC.NS
480,Ganges Securities Limited,GANGESSECU.NS
481,Garden Silk Mills Limited,GARDENSILK.NS
482,Garware Technical Fibres Limited,GARFIBRES.NS
483,GATI Limited,GATI.NS
484,Gayatri Highways Limited,GAYAHWS.NS
